###################################### udx :  508 76 77,,,
###################################### udx :  6.597402597402597,,,
1 , 183 , 256 , 6
1 , 184 , 283 , 1
1 , 187 , 272 , 3
2 , 194 , 234 , 7
2 , 194 , 260 , 0
2 , 194 , 287 , 0
3 , 200 , 250 , 6
3 , 200 , 278 , 0
3 , 201 , 221 , 1
4 , 205 , 238 , 4
4 , 205 , 265 , 0
5 , 210 , 283 , 5
5 , 211 , 227 , 1
5 , 211 , 255 , 0
5 , 212 , 199 , 1
6 , 216 , 244 , 4
6 , 216 , 298 , 0
6 , 217 , 189 , 1
6 , 217 , 216 , 0
6 , 217 , 273 , 0
7 , 222 , 205 , 5
7 , 222 , 233 , 0
7 , 222 , 260 , 0
7 , 222 , 288 , 0
8 , 227 , 194 , 5
8 , 228 , 222 , 1
8 , 228 , 250 , 0
8 , 228 , 277 , 0
8 , 229 , 304 , 1
8 , 232 , 211 , 3
8 , 233 , 265 , 1
8 , 233 , 294 , 0
8 , 234 , 238 , 1
8 , 237 , 200 , 3
8 , 238 , 309 , 1
8 , 239 , 227 , 1
8 , 239 , 255 , 0
8 , 239 , 282 , 0
9 , 243 , 272 , 4
9 , 244 , 244 , 1
9 , 245 , 216 , 1
9 , 245 , 300 , 0
10 , 249 , 205 , 4
10 , 250 , 233 , 1
10 , 250 , 260 , 0
10 , 250 , 288 , 0
10 , 252 , 315 , 2
11 , 256 , 223 , 4
11 , 256 , 250 , 0
11 , 256 , 278 , 0
11 , 257 , 304 , 1
12 , 261 , 266 , 4
12 , 262 , 211 , 1
12 , 262 , 238 , 0
12 , 262 , 293 , 0
12 , 265 , 311 , 3
12 , 267 , 255 , 2
12 , 267 , 283 , 0
12 , 268 , 227 , 1
12 , 271 , 216 , 3
12 , 272 , 244 , 1
12 , 272 , 271 , 0
12 , 272 , 298 , 0
13 , 277 , 288 , 5
13 , 278 , 233 , 1
13 , 279 , 260 , 1
14 , 283 , 248 , 4
14 , 283 , 275 , 0
14 , 284 , 222 , 1
15 , 288 , 266 , 4
15 , 290 , 238 , 2
15 , 293 , 227 , 3
15 , 294 , 199 , 1
15 , 294 , 253 , 0
16 , 299 , 244 , 5
17 , 369 , 467 , 70
18 , 412 , 266 , 43
19 , 436 , 72 , 24
20 , 446 , 74 , 10
21 , 495 , 71 , 49
######################################
######################################
###################################### udx :  319 80 81
###################################### udx :  3.9382716049382718
1 , 183 , 256 , 9
1 , 185 , 282 , 2
1 , 187 , 272 , 2
1 , 190 , 243 , 3
2 , 194 , 287 , 4
2 , 195 , 234 , 1
2 , 195 , 260 , 0
3 , 200 , 249 , 5
3 , 200 , 277 , 0
3 , 201 , 221 , 1
4 , 206 , 212 , 5
4 , 206 , 238 , 0
4 , 206 , 266 , 0
4 , 208 , 293 , 2
4 , 210 , 283 , 2
4 , 211 , 255 , 1
4 , 212 , 199 , 1
4 , 212 , 228 , 0
5 , 216 , 244 , 4
5 , 217 , 216 , 1
5 , 217 , 271 , 0
5 , 219 , 299 , 2
5 , 222 , 205 , 3
5 , 223 , 233 , 1
5 , 223 , 260 , 0
5 , 223 , 289 , 0
6 , 227 , 194 , 4
6 , 228 , 221 , 1
6 , 228 , 249 , 0
6 , 228 , 276 , 0
6 , 230 , 304 , 2
6 , 233 , 211 , 3
6 , 234 , 266 , 1
6 , 234 , 294 , 0
6 , 235 , 238 , 1
7 , 239 , 227 , 4
7 , 239 , 255 , 0
7 , 239 , 281 , 0
7 , 239 , 309 , 0
7 , 240 , 200 , 1
8 , 244 , 244 , 4
8 , 245 , 216 , 1
8 , 245 , 298 , 0
8 , 246 , 271 , 1
8 , 249 , 205 , 3
8 , 250 , 288 , 1
8 , 251 , 234 , 1
8 , 251 , 260 , 0
8 , 252 , 315 , 1
8 , 255 , 222 , 3
8 , 256 , 276 , 1
8 , 257 , 249 , 1
8 , 257 , 304 , 0
9 , 262 , 211 , 5
9 , 262 , 239 , 0
9 , 262 , 267 , 0
9 , 262 , 294 , 0
10 , 266 , 310 , 4
10 , 267 , 226 , 1
10 , 267 , 254 , 0
