ii, x  , y,,,,,,,,,,,,
51,312,323,5,3,,,,,,,,,,
52,313,262,1,-4,,,,,,,,,,
53,314,292,1,0,,,,,,,,,,
54,314,354,0,-1,,,,,,,,,,
55,314,382,0,0,,,,,,,,,,
56,315,234,1,1,,,,,,,,,,
57,339,234,24,23,,,,,,,,,,
58,339,260,0,-24,,,,,,,,,,
59,339,293,0,0,,,,,,,,,,
60,339,320,0,0,,,,,,,,,,
61,339,381,0,0,,,,,,,,,,
62,340,354,1,1,,,,,,,,,,
63,378,383,38,37,,,,,,,,,,
64,380,213,2,-36,,,,,,,,,,
65,383,278,3,1,,,,,,,,,,
66,434,466,51,48,,,,,,,,,,
,,,6.454545455,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,7,213,-313,,,,,,,,,,,
1,13,378,6,,,,,,,,,,,
2,16,233,3,,,,,,,,,,,
3,21,276,5,,,,,,,,,,,
4,31,271,10,,,,,,,,,,,
5,37,359,6,,,,,,,,,,,
6,40,283,3,,,,,,,,,,,
7,43,248,3,,,,,,,,,,,
8,53,283,10,,,,,,,,,,,
9,58,237,5,,,,,,,,,,,
10,65,252,7,,,,,,,,,,,
11,78,257,13,,,,,,,,,,,
12,79,280,1,,,,,,,,,,,
13,86,264,7,,,,,,,,,,,
14,89,251,3,,,,,,,,,,,
15,90,433,1,,,,,,,,,,,
16,105,263,15,,,,,,,,,,,
17,112,468,7,,,,,,,,,,,
18,116,286,4,,,,,,,,,,,
19,126,288,10,,,,,,,,,,,
20,129,389,3,,,,,,,,,,,
21,136,211,7,,,,,,,,,,,
22,172,391,36,,,,,,,,,,,
23,188,383,16,,,,,,,,,,,
24,190,354,2,,,,,,,,,,,
25,192,320,2,,,,,,,,,,,
26,193,292,1,,,,,,,,,,,
27,194,233,1,,,,,,,,,,,
28,194,260,0,,,,,,,,,,,
29,218,382,24,,,,,,,,,,,
30,219,354,1,,,,,,,,,,,
31,222,233,3,,,,,,,,,,,
32,222,260,0,,,,,,,,,,,
33,223,323,1,,,,,,,,,,,
34,224,290,1,,,,,,,,,,,
35,228,389,4,,,,,,,,,,,
36,233,210,5,,,,,,,,,,,
37,235,198,2,,,,,,,,,,,
38,251,323,16,,,,,,,,,,,
39,251,352,0,,,,,,,,,,,
40,252,382,1,,,,,,,,,,,
41,253,262,1,,,,,,,,,,,
42,254,292,1,,,,,,,,,,,
43,255,233,1,,,,,,,,,,,
44,281,354,26,,,,,,,,,,,
45,281,382,0,,,,,,,,,,,
46,283,233,2,,,,,,,,,,,
47,283,262,0,,,,,,,,,,,
48,284,290,1,,,,,,,,,,,
49,284,323,0,,,,,,,,,,,
50,304,200,20,,,,,,,,,,,
51,307,210,3,,,,,,,,,,,
52,312,323,5,,,,,,,,,,,
53,314,292,2,,,,,,,,,,,
54,314,352,0,,,,,,,,,,,
55,314,382,0,,,,,,,,,,,
56,315,234,1,,,,,,,,,,,
57,315,260,0,,,,,,,,,,,
58,339,234,24,,,,,,,,,,,
59,339,260,0,,,,,,,,,,,
60,339,293,0,,,,,,,,,,,
61,339,320,0,,,,,,,,,,,
62,339,381,0,,,,,,,,,,,
63,340,354,1,,,,,,,,,,,
64,378,383,38,,,,,,,,,,,
65,380,213,2,,,,,,,,,,,
66,383,279,3,,,,,,,,,,,
67,434,466,51,,,,,,,,,,,
68,551,12,117,,,,,,,,,,,
,213.6956522,296.1014493,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
Frames per Second: 4.995341743118008,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,44,299,4,,,,,,,,,,,
2,47,349,3,,,,,,,,,,,
3,53,283,6,,,,,,,,,,,
4,80,279,27,,,,,,,,,,,
5,173,406,93,,,,,,,,,,,
6,173,424,0,,,,,,,,,,,
7,173,437,0,,,,,,,,,,,
8,174,375,1,,,,,,,,,,,
9,174,393,0,,,,,,,,,,,
10,175,344,1,,,,,,,,,,,
11,175,362,0,,,,,,,,,,,
12,187,407,12,,,,,,,,,,,
13,188,376,1,,,,,,,,,,,
14,188,421,0,,,,,,,,,,,
15,188,438,0,,,,,,,,,,,
16,188,452,0,,,,,,,,,,,
17,189,346,1,,,,,,,,,,,
18,189,361,0,,,,,,,,,,,
19,189,390,0,,,,,,,,,,,
20,192,331,3,,,,,,,,,,,
21,201,451,9,,,,,,,,,,,
22,202,422,1,,,,,,,,,,,
23,202,437,0,,,,,,,,,,,
24,203,391,1,,,,,,,,,,,
25,203,406,0,,,,,,,,,,,
26,204,360,1,,,,,,,,,,,
27,205,374,1,,,,,,,,,,,
28,206,345,1,,,,,,,,,,,
29,207,330,1,,,,,,,,,,,
30,217,437,10,,,,,,,,,,,
31,218,405,1,,,,,,,,,,,
32,219,345,1,,,,,,,,,,,
33,219,375,0,,,,,,,,,,,
34,219,420,0,,,,,,,,,,,
35,219,450,0,,,,,,,,,,,
36,220,329,1,,,,,,,,,,,
37,220,390,0,,,,,,,,,,,
38,221,358,1,,,,,,,,,,,
39,233,390,12,,,,,,,,,,,
40,233,403,0,,,,,,,,,,,
41,234,359,1,,,,,,,,,,,
42,234,374,0,,,,,,,,,,,
43,234,434,0,,,,,,,,,,,
44,235,418,1,,,,,,,,,,,
45,236,329,1,,,,,,,,,,,
46,236,343,0,,,,,,,,,,,
47,247,435,11,,,,,,,,,,,
48,248,374,1,,,,,,,,,,,
49,248,389,0,,,,,,,,,,,
50,248,404,0,,,,,,,,,,,
51,248,419,0,,,,,,,,,,,
52,249,329,1,,,,,,,,,,,
53,249,357,0,,,,,,,,,,,
54,249,448,0,,,,,,,,,,,
55,251,342,2,,,,,,,,,,,
56,262,419,11,,,,,,,,,,,
57,262,448,0,,,,,,,,,,,
58,263,344,1,,,,,,,,,,,
59,263,358,0,,,,,,,,,,,
60,263,373,0,,,,,,,,,,,
61,263,388,0,,,,,,,,,,,
62,263,403,0,,,,,,,,,,,
63,264,432,1,,,,,,,,,,,
64,266,329,2,,,,,,,,,,,
65,277,356,11,,,,,,,,,,,
66,277,373,0,,,,,,,,,,,
67,277,403,0,,,,,,,,,,,
68,277,416,0,,,,,,,,,,,
69,278,328,1,,,,,,,,,,,
70,279,386,1,,,,,,,,,,,
71,279,431,0,,,,,,,,,,,
72,279,447,0,,,,,,,,,,,
73,280,341,1,,,,,,,,,,,
74,291,415,11,,,,,,,,,,,
75,291,433,0,,,,,,,,,,,
76,292,343,1,,,,,,,,,,,
77,292,356,0,,,,,,,,,,,
78,292,372,0,,,,,,,,,,,
79,292,385,0,,,,,,,,,,,
80,292,402,0,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
###################################### udx :  -0.345679012345679,,,,,,,,,,,,,,
1,44,299,4,,,,,,,,,,,
2,47,348,3,3,,,,,,,,,,
3,53,283,6,6,,,,,,,,,,
4,80,279,27,27,,,,,,,,,,
5,173,406,93,93,,,,,,,,,,
6,173,424,0,0,,,,,,,,,,
7,173,437,0,0,,,,,,,,,,
8,174,375,1,1,,,,,,,,,,
9,174,393,0,0,,,,,,,,,,
10,175,344,1,1,,,,,,,,,,
11,175,362,0,0,,,,,,,,,,
12,186,438,11,11,,,,,,,,,,
13,187,407,1,1,,,,,,,,,,
14,187,421,0,0,,,,,,,,,,
15,188,376,1,1,,,,,,,,,,
16,188,452,0,0,,,,,,,,,,
17,189,346,1,1,,,,,,,,,,
18,189,361,0,0,,,,,,,,,,
19,189,390,0,0,,,,,,,,,,
20,192,331,3,3,,,,,,,,,,
21,201,451,9,9,,,,,,,,,,
22,202,422,1,1,,,,,,,,,,
23,202,437,0,0,,,,,,,,,,
24,203,391,1,1,,,,,,,,,,
25,203,406,0,0,,,,,,,,,,
26,204,360,1,1,,,,,,,,,,
27,204,375,0,0,,,,,,,,,,
28,206,344,2,2,,,,,,,,,,
29,207,330,1,1,,,,,,,,,,
30,217,437,10,10,,,,,,,,,,
31,218,405,1,1,,,,,,,,,,
32,218,420,0,0,,,,,,,,,,
33,219,330,1,1,,,,,,,,,,
34,219,345,0,0,,,,,,,,,,
35,219,360,0,0,,,,,,,,,,
36,219,375,0,0,,,,,,,,,,
37,219,450,0,0,,,,,,,,,,
38,220,390,1,1,,,,,,,,,,
39,232,449,12,12,,,,,,,,,,
40,233,390,1,1,,,,,,,,,,
41,233,403,0,0,,,,,,,,,,
42,233,420,0,0,,,,,,,,,,
43,234,374,1,1,,,,,,,,,,
44,234,434,0,0,,,,,,,,,,
45,236,329,2,2,,,,,,,,,,
46,236,343,0,0,,,,,,,,,,
47,236,357,0,0,,,,,,,,,,
48,247,435,11,11,,,,,,,,,,
49,248,374,1,1,,,,,,,,,,
50,248,404,0,0,,,,,,,,,,
51,248,419,0,0,,,,,,,,,,
52,249,329,1,1,,,,,,,,,,
53,249,357,0,0,,,,,,,,,,
54,249,448,0,0,,,,,,,,,,
55,250,387,1,1,,,,,,,,,,
56,251,342,1,1,,,,,,,,,,
57,262,419,11,11,,,,,,,,,,
58,263,344,1,1,,,,,,,,,,
59,263,358,0,0,,,,,,,,,,
60,263,388,0,0,,,,,,,,,,
61,263,403,0,0,,,,,,,,,,
62,264,432,1,1,,,,,,,,,,
63,265,371,1,1,,,,,,,,,,
64,266,329,1,1,,,,,,,,,,
65,277,373,11,11,,,,,,,,,,
66,277,403,0,0,,,,,,,,,,
67,278,328,1,1,,,,,,,,,,
68,279,358,1,1,,,,,,,,,,
69,279,386,0,0,,,,,,,,,,
70,279,418,0,0,,,,,,,,,,
71,279,431,0,0,,,,,,,,,,
72,279,446,0,0,,,,,,,,,,
73,280,341,1,1,,,,,,,,,,
74,291,415,11,11,,,,,,,,,,
75,291,433,0,0,,,,,,,,,,
76,292,343,1,1,,,,,,,,,,
77,292,356,0,0,,,,,,,,,,
78,292,372,0,0,,,,,,,,,,
79,292,385,0,0,,,,,,,,,,
80,292,402,0,0,,,,,,,,,,
,224.25,384.1,3.15,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
###################################### udx :  -0.345679012345679,,,,,,,,,,,,,,
1,42,312,2,,,,,,,,,,,
2,44,299,2,,,,,,,,,,,
3,47,340,3,,,,,,,,,,,
4,53,283,6,,,,,,,,,,,
5,80,279,27,,,,,,,,,,,
6,173,406,93,,,,,,,,,,,
7,173,437,0,,,,,,,,,,,
8,174,375,1,,,,,,,,,,,
9,174,393,0,,,,,,,,,,,
10,175,344,1,,,,,,,,,,,
11,175,362,0,,,,,,,,,,,
12,187,407,12,,,,,,,,,,,
13,188,376,1,,,,,,,,,,,
14,188,421,0,,,,,,,,,,,
15,188,438,0,,,,,,,,,,,
16,188,452,0,,,,,,,,,,,
17,189,346,1,,,,,,,,,,,
18,189,361,0,,,,,,,,,,,
19,189,390,0,,,,,,,,,,,
20,192,331,3,,,,,,,,,,,
21,201,451,9,,,,,,,,,,,
22,202,422,1,,,,,,,,,,,
23,202,437,0,,,,,,,,,,,
24,203,391,1,,,,,,,,,,,
25,203,406,0,,,,,,,,,,,
26,204,360,1,,,,,,,,,,,
27,205,374,1,,,,,,,,,,,
28,206,344,1,,,,,,,,,,,
29,207,330,1,,,,,,,,,,,
30,217,437,10,,,,,,,,,,,
31,218,388,1,,,,,,,,,,,
32,218,405,0,,,,,,,,,,,
33,219,330,1,,,,,,,,,,,
34,219,345,0,,,,,,,,,,,
35,219,360,0,,,,,,,,,,,
36,219,375,0,,,,,,,,,,,
37,219,420,0,,,,,,,,,,,
38,219,450,0,,,,,,,,,,,
39,233,390,14,,,,,,,,,,,
40,233,403,0,,,,,,,,,,,
41,233,420,0,,,,,,,,,,,
42,234,359,1,,,,,,,,,,,
43,234,374,0,,,,,,,,,,,
44,234,434,0,,,,,,,,,,,
45,236,329,2,,,,,,,,,,,
46,236,343,0,,,,,,,,,,,
47,247,435,11,,,,,,,,,,,
48,248,374,1,,,,,,,,,,,
49,248,389,0,,,,,,,,,,,
50,248,404,0,,,,,,,,,,,
51,248,419,0,,,,,,,,,,,
52,249,329,1,,,,,,,,,,,
53,249,449,0,,,,,,,,,,,
54,251,342,2,,,,,,,,,,,
55,251,359,0,,,,,,,,,,,
56,262,419,11,,,,,,,,,,,
57,262,448,0,,,,,,,,,,,
58,263,344,1,,,,,,,,,,,
59,263,403,0,,,,,,,,,,,
60,264,432,1,,,,,,,,,,,
61,265,357,1,,,,,,,,,,,
62,265,371,0,,,,,,,,,,,
63,265,386,0,,,,,,,,,,,
64,266,329,1,,,,,,,,,,,
65,277,373,11,,,,,,,,,,,
66,277,403,0,,,,,,,,,,,
67,277,416,0,,,,,,,,,,,
68,278,328,1,,,,,,,,,,,
69,278,358,0,,,,,,,,,,,
70,279,386,1,,,,,,,,,,,
71,279,431,0,,,,,,,,,,,
72,279,447,0,,,,,,,,,,,
73,280,341,1,,,,,,,,,,,
74,291,433,11,,,,,,,,,,,
75,292,343,1,,,,,,,,,,,
76,292,356,0,,,,,,,,,,,
77,292,372,0,,,,,,,,,,,
78,292,385,0,,,,,,,,,,,
79,292,402,0,,,,,,,,,,,
80,292,415,0,,,,,,,,,,,
VV,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,23,359,12,,,,,,,,,,,
,23,359,12,,,,,,23,359,12,,,
2,36,427,13,13,,,,,36,427,13,13,68,1
,36,427,13,,,,,,47.33333333,226,4.666666667,11.33333333,-201,-8.333333333
3,45,48,9,9,,,,,66,266,16,18.66666667,40,11.33333333
3,47,266,2,2,,,,,79.5,260.5,7,13.5,-5.5,-9
3,50,364,3,3,,,,,94,327,14,14.5,66.5,7
,47.33333333,226,4.666666667,,,,,,132,319.5,19.5,38,-7.5,5.5
4,66,266,16,16,,,,,139.5,278,3.5,7.5,-41.5,-16
,66,266,16,,,,,,151,284,11,11.5,6,7.5
5,79,250,13,13,,,,,175,280,24,24,-4,13
5,80,271,1,1,,,,,262,364.5,43.5,87,84.5,19.5
,79.5,260.5,7,,,,,,276.2857143,398.8571429,2.285714286,14.28571429,34.35714286,-41.21428571
6,94,327,14,14,,,,,292.25,389.75,2,15.96428571,-9.107142857,-0.285714286
,94,327,14,,,,,,308.8888889,397.2222222,1.888888889,16.63888889,7.472222222,-0.111111111
7,131,337,37,37,,,,,324.75,389.375,1.875,15.86111111,-7.847222222,-0.013888889
7,133,302,2,2,,,,,340.875,389.75,2.125,16.125,0.375,0.25
,132,319.5,19.5,,,,,,356.625,388.875,2,15.75,-0.875,-0.125
8,139,283,6,6,,,,,372,388.25,2,15.375,-0.625,0
8,140,273,1,1,,,,,387.4285714,396.5714286,2.142857143,15.42857143,8.321428571,0.142857143
,139.5,278,3.5,,,,,,,,,,,
9,151,284,11,11,,,,,203.3913952,343.692147,9.709690894,15.67857143,,
,151,284,11,,,,,,,,,,,
10,175,280,24,24,,,,,,,,,,
,175,280,24,,,,,,,,,,,
11,262,348,87,87,,,,,,,,,,
11,262,381,0,0,,,,,,,,,,
,262,364.5,43.5,,,,,,,,,,,
12,276,350,14,14,,,,,,,,,,
12,276,364,0,0,,,,,,,,,,
12,276,382,0,0,,,,,,,,,,
12,276,399,0,0,,,,,,,,,,
12,276,416,0,0,,,,,,,,,,
12,276,450,0,0,,,,,,,,,,
12,278,431,2,2,,,,,,,,,,
,276.2857143,398.8571429,2.285714286,,,,,,,,,,,
13,291,347,13,13,,,,,,,,,,
13,292,364,1,1,,,,,,,,,,
13,292,397,0,0,,,,,,,,,,
13,292,414,0,0,,,,,,,,,,
13,292,433,0,0,,,,,,,,,,
13,292,448,0,0,,,,,,,,,,
13,293,333,1,1,,,,,,,,,,
13,294,382,1,1,,,,,,,,,,
,292.25,389.75,2,,,,,,,,,,,
14,307,332,13,13,,,,,,,,,,
14,307,363,0,0,,,,,,,,,,
14,308,398,1,1,,,,,,,,,,
14,308,430,0,0,,,,,,,,,,
14,309,347,1,1,,,,,,,,,,
14,310,379,1,1,,,,,,,,,,
14,310,413,0,0,,,,,,,,,,
14,310,448,0,0,,,,,,,,,,
14,311,465,1,1,,,,,,,,,,
,308.8888889,397.2222222,1.888888889,,,,,,,,,,,
15,323,379,12,12,,,,,,,,,,
15,324,332,1,1,,,,,,,,,,
15,324,398,0,0,,,,,,,,,,
15,325,349,1,1,,,,,,,,,,
15,325,363,0,0,,,,,,,,,,
15,325,449,0,0,,,,,,,,,,
15,326,415,1,1,,,,,,,,,,
15,326,430,0,0,,,,,,,,,,
,324.75,389.375,1.875,,,,,,,,,,,
16,338,349,12,12,,,,,,,,,,
16,340,415,2,2,,,,,,,,,,
16,341,333,1,1,,,,,,,,,,
16,341,365,0,0,,,,,,,,,,
16,341,379,0,0,,,,,,,,,,
16,341,447,0,0,,,,,,,,,,
16,342,398,1,1,,,,,,,,,,
16,343,432,1,1,,,,,,,,,,
,340.875,389.75,2.125,,,,,,,,,,,
17,354,348,11,11,,,,,,,,,,
17,354,365,0,0,,,,,,,,,,
17,355,332,1,1,,,,,,,,,,
17,357,381,2,2,,,,,,,,,,
17,357,397,0,0,,,,,,,,,,
17,358,412,1,1,,,,,,,,,,
17,359,429,1,1,,,,,,,,,,
17,359,447,0,0,,,,,,,,,,
,356.625,388.875,2,,,,,,,,,,,
18,369,331,10,10,,,,,,,,,,
18,371,346,2,2,,,,,,,,,,
18,371,379,0,0,,,,,,,,,,
18,371,395,0,0,,,,,,,,,,
18,372,364,1,1,,,,,,,,,,
18,372,412,0,0,,,,,,,,,,
18,375,431,3,3,,,,,,,,,,
18,375,448,0,0,,,,,,,,,,
,372,388.25,2,,,,,,,,,,,
19,385,348,10,10,,,,,,,,,,
19,386,362,1,1,,,,,,,,,,
19,387,380,1,1,,,,,,,,,,
19,387,395,0,0,,,,,,,,,,
19,388,414,1,1,,,,,,,,,,
19,389,429,1,1,,,,,,,,,,
19,390,448,1,1,,,,,,,,,,
,387.4285714,396.5714286,2.142857143,,,,,,,,,,,
,268.4490606,366.4344833,5.727972141,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
###################################### udx :  367 80 81,,,,,,,,,,,,,,
###################################### udx :  4.530864197530864,,,,,,,,,,,,,,
1,33,367,10,,,,,,,,,,,
1,36,179,3,3,,,,,,,,,,
1,36,427,0,0,,,,,,,,,,
2,45,48,9,9,,,,,,,,,,
2,47,266,2,2,,,,,,,,,,
2,50,364,3,3,,,,,,,,,,
3,66,266,16,16,,,,,,,,,,
4,79,250,13,13,,,,,,,,,,
4,80,267,1,1,,,,,,,,,,
5,94,327,14,14,,,,,,,,,,
6,131,337,37,37,,,,,,,,,,
6,133,302,2,2,,,,,,,,,,
7,139,283,6,6,,,,,,,,,,
7,140,273,1,1,,,,,,,,,,
8,151,284,11,11,,,,,,,,,,
9,175,280,24,24,,,,,,,,,,
10,262,348,87,87,,,,,,,,,,
10,262,367,0,0,,,,,,,,,,
11,276,350,14,14,,,,,,,,,,
11,276,366,0,0,,,,,,,,,,
11,276,382,0,0,,,,,,,,,,
11,276,416,0,0,,,,,,,,,,
11,276,450,0,0,,,,,,,,,,
11,278,397,2,2,,,,,,,,,,
11,278,431,0,0,,,,,,,,,,
12,291,347,13,13,,,,,,,,,,
12,292,364,1,1,,,,,,,,,,
12,292,397,0,0,,,,,,,,,,
12,292,414,0,0,,,,,,,,,,
12,292,448,0,0,,,,,,,,,,
12,294,382,2,2,,,,,,,,,,
12,294,431,0,0,,,,,,,,,,
13,307,332,13,13,,,,,,,,,,
13,307,349,0,0,,,,,,,,,,
13,307,382,0,0,,,,,,,,,,
13,308,398,1,1,,,,,,,,,,
13,308,430,0,0,,,,,,,,,,
13,309,365,1,1,,,,,,,,,,
13,309,448,0,0,,,,,,,,,,
13,310,413,1,1,,,,,,,,,,
14,323,365,13,13,,,,,,,,,,
14,323,379,0,0,,,,,,,,,,
14,324,332,1,1,,,,,,,,,,
14,324,398,0,0,,,,,,,,,,
14,324,413,0,0,,,,,,,,,,
14,325,349,1,1,,,,,,,,,,
14,325,449,0,0,,,,,,,,,,
14,326,430,1,1,,,,,,,,,,
15,338,332,12,12,,,,,,,,,,
15,338,349,0,0,,,,,,,,,,
15,341,365,3,3,,,,,,,,,,
15,341,379,0,0,,,,,,,,,,
15,342,398,1,1,,,,,,,,,,
15,342,412,0,0,,,,,,,,,,
15,342,430,0,0,,,,,,,,,,
15,343,447,1,1,,,,,,,,,,
15,344,464,1,1,,,,,,,,,,
16,354,348,10,10,,,,,,,,,,
16,354,365,0,0,,,,,,,,,,
16,355,332,1,1,,,,,,,,,,
16,357,381,2,2,,,,,,,,,,
16,357,397,0,0,,,,,,,,,,
16,357,430,0,0,,,,,,,,,,
16,358,414,1,1,,,,,,,,,,
16,359,447,1,1,,,,,,,,,,
17,369,331,10,10,,,,,,,,,,
17,371,346,2,2,,,,,,,,,,
17,371,379,0,0,,,,,,,,,,
17,371,395,0,0,,,,,,,,,,
17,372,364,1,1,,,,,,,,,,
17,372,412,0,0,,,,,,,,,,
17,374,447,2,2,,,,,,,,,,
17,375,431,1,1,,,,,,,,,,
18,385,348,10,10,,,,,,,,,,
18,386,362,1,1,,,,,,,,,,
18,387,381,1,1,,,,,,,,,,
18,387,395,0,0,,,,,,,,,,
18,388,414,1,1,,,,,,,,,,
18,389,429,1,1,,,,,,,,,,
18,390,448,1,1,,,,,,,,,,
,282.625,370.175,4.5875,,,,,,,,,,,
