ii, x  , y,,,,,,,,,,,,
37,229,405,,,,,,,,,,,,
38,229,450,,,,,,,,,,,,
39,230,343,,,,,,,,,,,,
40,242,389,,,,,,,,,,,,
41,242,420,,,,,,,,,,,,
42,242,435,,,,,,,,,,,,
43,244,329,,,,,,,,,,,,
44,244,343,,,,,,,,,,,,
45,244,359,,,,,,,,,,,,
46,244,374,,,,,,,,,,,,
47,244,404,,,,,,,,,,,,
48,257,329,,,,,,,,,,,,
49,257,357,,,,,,,,,,,,
50,257,388,,,,,,,,,,,,
51,257,417,,,,,,,,,,,,
52,259,342,,,,,,,,,,,,
53,259,371,,,,,,,,,,,,
54,259,401,,,,,,,,,,,,
55,259,432,,,,,,,,,,,,
56,259,448,,,,,,,,,,,,
57,270,329,,,,,,,,,,,,
58,271,343,,,,,,,,,,,,
59,271,358,,,,,,,,,,,,
60,271,371,,,,,,,,,,,,
61,271,388,,,,,,,,,,,,
62,271,418,,,,,,,,,,,,
63,271,431,,,,,,,,,,,,
64,272,447,,,,,,,,,,,,
65,273,401,,,,,,,,,,,,
66,285,328,,,,,,,,,,,,
67,285,343,,,,,,,,,,,,
68,285,355,,,,,,,,,,,,
69,285,372,,,,,,,,,,,,
70,286,400,,,,,,,,,,,,
71,286,415,,,,,,,,,,,,
72,288,387,,,,,,,,,,,,
73,288,430,,,,,,,,,,,,
74,299,343,,,,,,,,,,,,
75,299,355,,,,,,,,,,,,
76,300,371,,,,,,,,,,,,
77,300,384,,,,,,,,,,,,
78,300,401,,,,,,,,,,,,
79,300,414,,,,,,,,,,,,
80,300,432,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,23,270,,,,,,,,,,,,
1,40,282,,,,,,,,,,,,
2,50,252,,,,,,,,,,,,
3,53,282,,,,,,,,,,,,
4,65,251,,,,,,,,,,,,
5,79,279,,,,,,,,,,,,
6,90,249,,,,,,,,,,,,
7,116,285,,,,,,,,,,,,
8,116,300,,,,,,,,,,,,
9,183,406,,,,,,,,,,,,
10,183,424,,,,,,,,,,,,
11,183,438,,,,,,,,,,,,
12,184,345,,,,,,,,,,,,
13,184,362,,,,,,,,,,,,
14,184,375,,,,,,,,,,,,
15,196,439,,,,,,,,,,,,
16,197,377,,,,,,,,,,,,
17,197,392,,,,,,,,,,,,
18,197,407,,,,,,,,,,,,
19,198,331,,,,,,,,,,,,
20,198,347,,,,,,,,,,,,
21,198,361,,,,,,,,,,,,
22,198,421,,,,,,,,,,,,
23,212,391,,,,,,,,,,,,
24,212,406,,,,,,,,,,,,
25,212,422,,,,,,,,,,,,
26,212,436,,,,,,,,,,,,
27,213,361,,,,,,,,,,,,
